mapping_unit,badge,total_score,degradation_risk,suitability,drainage,ph_range,slope,soil_texture,major_crops,risk_factors
15e,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,6.2 - 6.2,0 - 2%,Sandy Clay,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice",Well-suited for sustainable agriculture
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
2a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,5.9 - 4.9,0 - 2%,Sandy Loam,"Yam, Rice,Maize, Millet,Irish Potatoes",Waterlogging risk - poor drainage
3a,SILVER,68,MEDIUM,Moderately Suitable,Poorly Drained,7.0 - 8.4,0 - 2%,Sandy Loam,"Groundnut,Sorghum,Cotton,Maize,Millet,Cowpea",Waterlogging risk - poor drainage
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15e,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,6.2 - 6.2,0 - 2%,Sandy Clay,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice",Well-suited for sustainable agriculture
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
15e,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,6.2 - 6.2,0 - 2%,Sandy Clay,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice",Well-suited for sustainable agriculture
18a,GOLD,79,LOW,Moderately Suitable,Well Drained,7.0 - 7.8,0 - 6%,Sandy Loam,"Sorghum,Cotton,Groundnut,Millet,Cowpea,Maize",Well-suited for sustainable agriculture
15e,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,6.2 - 6.2,0 - 2%,Sandy Clay,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice",Well-suited for sustainable agriculture
15b,GOLD,82,MEDIUM,Fairly Higly Suitable with few physical limitation,Imperfectly Drained,4.5 - 4.9,0 - 2%,Sandy Loam,"Tobbaco,Cotton,Millet,Upland rice,Guinea Corn,Groundnut,Maize",pH stress - may need amendment
22a,SILVER,46,HIGH,Marginally Suitable,Shallow Drained,6.2 - 6.2,0 - 13%,Sandy Loam,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice.",Waterlogging risk - poor drainage; Shallow soil - limited root depth
15e,GOLD,100,LOW,Fairly Higly Suitable with few physical limitation,Well Drained,6.2 - 6.2,0 - 2%,Sandy Clay,"Sorghum,Maize,Yam,Cassava,Millet,Upland rice",Well-suited for sustainable agriculture
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
18d,GOLD,80,LOW,Moderately Suitable,Moderately Drained,5.5 - 6.3,0 - 2%,Clay Loam,"Sugarcane,Cassava,Yam,Irish Potatoes,Cocoa,Rubber,Groundnut,MilletSorghum,Cowpea,Rice,OilPalm",Well-suited for sustainable agriculture
1d,GOLD,73,MEDIUM,Moderately Suitable,Poorly Drained,6.6 - 6.9,0 - 2%,Sandy Clay,"Millets, Groundnut,Maize,Cotton,Sorghum,Tobacco and Vegetables",Waterlogging risk - poor drainage
22c,SILVER,48,HIGH,Marginally Suitable,Poorly Drained,5.8 - 7.0,0 - 13%,Sandy Clay,"Yam,Sorghum,Cassava,Groundnut,Maize,Cotton,Cocoa",Waterlogging risk - poor drainage; Shallow soil - limited root depth
24b,SILVER,45,HIGH,Currently Not Suitable,Well Drained,5.1 - 6.6,13 - 55%,Sandy Clay,"Sorghum,Millet,Cowpea,Cotton,G.nuts,Beans,Maize,Yam",High erosion risk due to steep slope; Shallow soil - limited root depth
21c,SILVER,69,LOW,Marginally Suitable,Well Drained,5.6 - 5.9,0 - 6%,Sandy Clay,"Yam,Rice,Cass,SugarCan,Millets,Groundnut,Sorghum,Bean,Cowpea,Cotton,Cassava",Well-suited for sustainable agriculture
